symbol,direction,entry_time,entry_price,exit_time,exit_price,pnl,pnl_percent,exit_reason,regime,score,duration_hours,entry_session,atr_percentile,adx_value,ema_slope
BTCUSDT,long,2023-11-03 12:40:00,34363.47315,2023-11-03 19:20:00,34380.60334136528,11.837784708836185,0.40626392738153505,stopped,trending,85,6.666666666666667,London Session,44.0,48.740811823406,0.00545638643393348
ALGOUSDT,long,2023-11-03 12:00:00,0.10835414999999998,2023-11-03 19:40:00,0.113213365,41.656347174529515,2.6868115010362086,completed,trending,87,7.666666666666667,London Session,8.0,25.18999942345693,0.049306614056157896
ETHUSDT,long,2023-11-03 12:15:00,1789.6943999999999,2023-11-03 20:15:00,1824.877105,38.56001266144767,1.1066559819612396,completed,trending,92,8.0,London Session,25.0,33.51516063155231,0.0011772907013897012
XRPUSDT,long,2023-11-03 15:15:00,0.610305,2023-11-03 22:30:00,0.6106092370425,-1.046861004458477,-0.06017741749999279,stopped,trending,88,7.25,London Session + NY Session,56.00000000000001,27.65205558808097,0.08947034484730951
LINKUSDT,long,2023-11-04 00:00:00,11.4567255,2023-11-04 02:40:00,11.284704,-24.10011859622802,-1.6106634153449835,stopped,trending,89,2.6666666666666665,Asian Session,32.0,31.39316551211064,0.03819573417081592
AVAXUSDT,long,2023-11-03 21:10:00,12.118056,2023-11-04 02:50:00,12.124096850915999,-0.895330517587307,-0.06017741750000424,stopped,trending,89,5.666666666666667,NY Session,13.0,29.919624066494745,0.0619165226303822
ADAUSDT,long,2023-11-04 00:05:00,0.328164,2023-11-04 08:00:00,0.3237759,-24.51736110393349,-1.446431340732075,stopped,trending,85,7.916666666666667,Asian Session,8.0,34.49932882360992,0.05203920391819289
ETHUSDT,long,2023-11-04 22:15:00,1844.42175,2023-11-04 23:05:00,1867.575745,36.25461107865819,0.6599786825749133,completed,trending,85,0.8333333333333334,Off-Hours,11.0,27.505767873220773,0.0361376044729614
ARBUSDT,long,2023-11-04 22:45:00,1.0941467999999999,2023-11-05 00:10:00,1.0858864266,7.372290963217888,0.47163915312233357,stopped,trending,86,1.4166666666666667,Off-Hours,6.0,46.77479134035645,0.15550074876674488
LINKUSDT,long,2023-11-04 23:35:00,11.4987465,2023-11-05 00:10:00,11.380607999999999,-25.54362073542272,-1.136838219496365,stopped,trending,88,0.5833333333333334,Off-Hours,25.0,31.924367696720516,0.05400196176390147
HBARUSDT,long,2023-11-04 22:45:00,0.05565781499999999,2023-11-05 01:05:00,0.05568556042077749,-1.608392691645942,-0.06017741750000214,stopped,trending,90,2.3333333333333335,Off-Hours,23.0,29.932221206691654,0.08037513278020048
XLMUSDT,long,2023-11-05 01:10:00,0.124192065,2023-11-05 02:20:00,0.12299687999999999,-25.653773321151668,-1.0718389453867403,stopped,trending,88,1.1666666666666667,Asian Session,87.0,32.573865897038395,0.04640954647080533
BNBUSDT,long,2023-11-04 22:35:00,236.84836499999997,2023-11-05 03:30:00,240.67960000000002,38.16601080978492,0.8871231453402795,completed,trending,91,4.916666666666667,Off-Hours,35.0,29.0060487512875,0.027575585538341777
DOGEUSDT,long,2023-11-05 00:10:00,0.068964465,2023-11-05 10:50:00,0.0704117765,40.065013182641366,1.1897904967906203,completed,trending,86,10.666666666666666,Asian Session,51.0,37.36876979075684,0.01857079322964391
FILUSDT,long,2023-11-05 00:15:00,4.002,2023-11-05 10:50:00,4.117840050000001,41.48286957483062,1.6894084563905651,completed,trending,89,10.583333333333334,Asian Session,26.0,33.08220168105894,0.03536513683595488
