symbol,direction,entry_time,entry_price,exit_time,exit_price,pnl,pnl_percent,exit_reason,regime,score,duration_hours
ZECUSDT,short,2025-07-28 16:35:00,41.729125,2025-07-29 08:55:00,41.770854125,26.19834252977892,2.0252229672710738,stopped,trending,86,16.333333333333332
UNIUSDT,long,2025-07-29 04:15:00,10.413203999999999,2025-07-29 10:10:00,10.418394982193998,-0.6203733273744914,-0.06017741750000273,stopped,trending,87,5.916666666666667
APTUSDT,short,2025-07-29 19:45:00,4.50804485,2025-07-29 22:55:00,4.5863818,-22.08480443423743,-1.8486702646159283,stopped,trending,94,3.1666666666666665
XMRUSDT,short,2025-07-29 20:00:00,316.52166,2025-07-29 23:40:00,316.36292438750996,-1.1361054535385797,-0.0598224174999893,stopped,trending,91,3.6666666666666665
AAVEUSDT,short,2025-07-29 20:00:00,280.91947,2025-07-30 00:55:00,280.778588885795,-0.8402640909109299,-0.059822417499999544,stopped,trending,85,4.916666666666667
TAOUSDT,short,2025-07-29 19:15:00,385.09735500000005,2025-07-30 02:40:00,384.9042286764675,9.231292274010624,1.1985660449434432,stopped,trending,87,7.416666666666667
AAVEUSDT,short,2025-07-30 12:55:00,274.24281,2025-07-30 14:50:00,278.35808,-22.096002447499764,-1.6114189062969246,stopped,trending,91,1.9166666666666667
APTUSDT,short,2025-07-30 13:00:00,4.42168805,2025-07-30 14:50:00,4.4970926,-22.004906943955003,-1.8162719407014705,stopped,trending,87,1.8333333333333333
DOTUSDT,short,2025-07-30 13:00:00,3.7651165,2025-07-30 14:50:00,3.8287248999999997,-22.030129150249895,-1.8003430377253844,stopped,trending,89,1.8333333333333333
ZECUSDT,short,2025-07-30 12:55:00,38.790595,2025-07-31 03:45:00,38.829385595,26.92348741739618,2.238943728781562,stopped,trending,93,14.833333333333334
TONUSDT,long,2025-07-31 07:00:00,3.47783805,2025-07-31 10:10:00,3.47436021195,25.917553538330957,1.6708974297462185,stopped,trending,91,3.1666666666666665
QNTUSDT,long,2025-07-31 04:05:00,121.59076499999999,2025-07-31 12:30:00,120.34953,-23.363136758249812,-1.1302685382808382,stopped,trending,88,8.416666666666666
TRXUSDT,long,2025-07-31 10:00:00,0.32766375,2025-07-31 14:20:00,0.32585382,-27.90019893727298,-0.6620703887750659,stopped,trending,87,4.333333333333333
ZECUSDT,short,2025-07-31 12:30:00,38.710634999999996,2025-07-31 16:35:00,38.74934563499999,25.668203340126627,1.5069973864550419,stopped,trending,87,4.083333333333333
AAVEUSDT,short,2025-07-31 15:00:00,267.636115,2025-07-31 16:35:00,271.17089999999996,-19.155644291249715,-1.4314693135677683,stopped,trending,92,1.5833333333333333
TAOUSDT,short,2025-07-31 13:50:00,370.75453000000005,2025-07-31 22:35:00,354.07694999999995,30.034040742675224,2.7002628704833556,completed,trending,86,8.75
AAVEUSDT,short,2025-07-31 17:15:00,269.28529000000003,2025-08-01 00:45:00,257.14851,36.437287036875404,2.706221868775335,completed,trending,88,7.5
